date_time,subject,subject_count
08/06/2017 22:21, Labour Seats,49
08/06/2017 22:21, SNP Seats,2
08/06/2017 22:21," ""coalitionofchaos"" OR #coalitionofchaos",1
08/06/2017 22:21," ""exit poll"" OR #exitpoll",1458
08/06/2017 22:21," ""for the many"" OR #forthemany",28
08/06/2017 22:21," ""hung parliament"" OR #hungparliament",300
08/06/2017 22:21," ""strong and stable"" OR #strongandstable",47
08/06/2017 22:22, BBC Coverage,103
08/06/2017 22:22, Conservative Seats,39
08/06/2017 22:22, ITV Coverage,9
08/06/2017 22:22, Labour Seats,59
08/06/2017 22:22, SNP Seats,5
08/06/2017 22:22," ""coalitionofchaos"" OR #coalitionofchaos",3
08/06/2017 22:22," ""exit poll"" OR #exitpoll",1443
08/06/2017 22:22," ""for the many"" OR #forthemany",17
08/06/2017 22:22," ""hung parliament"" OR #hungparliament",287
08/06/2017 22:22," ""strong and stable"" OR #strongandstable",51
08/06/2017 22:23, BBC Coverage,83
08/06/2017 22:23, Conservative Seats,40
08/06/2017 22:23, ITV Coverage,12
08/06/2017 22:23, Labour Seats,56
08/06/2017 22:23, SNP Seats,1
08/06/2017 22:23," ""exit poll"" OR #exitpoll",1405
08/06/2017 22:23," ""for the many"" OR #forthemany",12
08/06/2017 22:23," ""hung parliament"" OR #hungparliament",289
08/06/2017 22:23," ""strong and stable"" OR #strongandstable",54
08/06/2017 22:24, BBC Coverage,123
08/06/2017 22:24, Conservative Seats,37
08/06/2017 22:24, ITV Coverage,5
08/06/2017 22:24, Labour Seats,54
08/06/2017 22:24," ""coalitionofchaos"" OR #coalitionofchaos",1
08/06/2017 22:24," ""exit poll"" OR #exitpoll",1347
08/06/2017 22:24," ""for the many"" OR #forthemany",21
08/06/2017 22:24," ""hung parliament"" OR #hungparliament",391
08/06/2017 22:24," ""strong and stable"" OR #strongandstable",58
08/06/2017 22:25, BBC Coverage,114
08/06/2017 22:25, Conservative Seats,40
08/06/2017 22:25, ITV Coverage,5
08/06/2017 22:25, Labour Seats,48
08/06/2017 22:25," ""exit poll"" OR #exitpoll",1277
08/06/2017 22:25," ""for the many"" OR #forthemany",18
08/06/2017 22:25," ""hung parliament"" OR #hungparliament",346
08/06/2017 22:25," ""strong and stable"" OR #strongandstable",56
08/06/2017 22:26, BBC Coverage,157
08/06/2017 22:26, Conservative Seats,42
08/06/2017 22:26, ITV Coverage,10
08/06/2017 22:26, Labour Seats,45
08/06/2017 22:26, SNP Seats,2
08/06/2017 22:26," ""coalitionofchaos"" OR #coalitionofchaos",5
08/06/2017 22:26," ""exit poll"" OR #exitpoll",1362
08/06/2017 22:26," ""for the many"" OR #forthemany",26
08/06/2017 22:26," ""hung parliament"" OR #hungparliament",312
08/06/2017 22:26," ""strong and stable"" OR #strongandstable",47
08/06/2017 22:27, BBC Coverage,142
08/06/2017 22:27, Conservative Seats,37
08/06/2017 22:27, ITV Coverage,8
08/06/2017 22:27, Labour Seats,46
08/06/2017 22:27, SNP Seats,3
08/06/2017 22:27," ""coalitionofchaos"" OR #coalitionofchaos",4
08/06/2017 22:27," ""exit poll"" OR #exitpoll",1403
08/06/2017 22:27," ""for the many"" OR #forthemany",31
08/06/2017 22:27," ""hung parliament"" OR #hungparliament",291
08/06/2017 22:27," ""strong and stable"" OR #strongandstable",54
08/06/2017 22:28, BBC Coverage,129
08/06/2017 22:28, Conservative Seats,27
08/06/2017 22:28, ITV Coverage,9
08/06/2017 22:28, Labour Seats,59
08/06/2017 22:28, SNP Seats,1
08/06/2017 22:28," ""coalitionofchaos"" OR #coalitionofchaos",1
08/06/2017 22:28," ""exit poll"" OR #exitpoll",1490
08/06/2017 22:28," ""for the many"" OR #forthemany",26
08/06/2017 22:28," ""hung parliament"" OR #hungparliament",311
08/06/2017 22:28," ""strong and stable"" OR #strongandstable",52
08/06/2017 22:29, BBC Coverage,127
08/06/2017 22:29, Conservative Seats,53
08/06/2017 22:29, ITV Coverage,25
08/06/2017 22:29, Labour Seats,40
08/06/2017 22:29, SNP Seats,1
08/06/2017 22:29," ""coalitionofchaos"" OR #coalitionofchaos",1
08/06/2017 22:29," ""exit poll"" OR #exitpoll",1483
08/06/2017 22:29," ""for the many"" OR #forthemany",26
08/06/2017 22:29," ""hung parliament"" OR #hungparliament",322
